"match_id","match_play_time","match_created_at","home_team_games_won","away_team_games_won","home_team_id","away_team_id","winning_team_id","losing_team_id"
8661,1670103000,1664399847,3,0,10,13,10,13
8642,1670200200,1664399845,1,3,13,17,17,13
8645,1670626800,1664399845,0,3,11,13,13,11
8649,1670713200,1664399845,2,3,138,13,13,138
8783,1683405000,1665871319,2,3,13,15,15,13
8788,1683496800,1665871319,2,3,69,13,13,69
8795,1684020600,1665871319,0,3,11,13,13,11
8801,1684533600,1665871319,3,1,13,16,13,16
8808,1684706400,1665871319,1,3,13,138,138,13
8657,1670022000,1664399847,3,1,69,15,69,15
8641,1670194800,1664399845,3,2,7,69,7,69
8650,1670718600,1664399845,1,3,69,9,9,69
8653,1670799600,1664399845,1,3,6,69,69,6
8785,1683415800,1665871319,1,3,69,17,17,69
8793,1684009800,1665871319,3,1,9,69,9,69
8800,1684528200,1665871319,3,1,12,69,12,69
8807,1684701000,1665871319,3,0,69,10,69,10
8656,1670016600,1664399847,3,1,12,6,12,6
8640,1670189400,1664399845,0,3,9,6,6,9
8648,1670707800,1664399845,2,3,10,6,6,10
8810,1683318600,1665871320,3,2,6,15,6,15
8787,1683491400,1665871319,3,0,6,7,6,7
8794,1684015200,1665871319,3,0,6,16,6,16
8797,1684096200,1665871319,3,1,6,17,6,17
8803,1684614600,1665871319,3,0,6,9,6,9
8658,1670027400,1664399847,2,3,16,11,11,16
8660,1670108400,1664399847,3,1,138,16,138,16
8643,1670616000,1664399845,1,3,10,16,16,10
8652,1670794200,1664399845,3,1,17,16,17,16
8811,1683324000,1665871320,3,0,17,16,17,16
8798,1684101600,1665871319,1,3,138,16,16,138
8802,1684609200,1665871319,1,3,16,15,15,16
